Genome	Taxonomy_names_NCBI	Accession	Taxonomy_ID	Length (nt)	Lenght (Kb)	 Protein	 RNA	Created	Updated	Group	Family
    Triturus cristatus / warty newt	Triturus cristatus	NC_015790	8323	16564	16.564	13	24	7/14/11	7/20/11	 Caudata	Salamandridae
    Triturus dobrogicus / Danube newt	Triturus dobrogicus	NC_015791	8327	16425	16.425	13	24	7/14/11	7/18/11	 Caudata	Salamandridae
    Triturus karelinii / Balkan newt	Triturus karelinii	NC_015792	8325	16541	16.541	13	24	7/14/11	7/18/11	 Caudata	Salamandridae
    Triturus macedonicus / Macedonian crested newt	Triturus macedonicus	NC_015794	385668	16569	16.569	13	24	7/14/11	7/18/11	 Caudata	Salamandridae
    Triturus marmoratus / marbled newt	Triturus marmoratus	NC_015795	8328	16546	16.546	13	24	7/14/11	8/1/11	 Caudata	Salamandridae
    Triturus pygmaeus / southern marbled newt	Triturus pygmaeus	NC_015796	171367	16442	16.442	13	24	7/14/11	7/18/11	 Caudata	Salamandridae
    Tylototriton kweichowensis / red-tailed knobby newt	Tylototriton kweichowensis	NC_029231	385676	16727	16.727	13	24	2/12/16	3/2/16	 Caudata	Salamandridae
    Tylototriton shanjing	Tylototriton shanjing	NC_027505	356254	16661	16.661	13	24	7/14/15	7/27/15	 Caudata	Salamandridae
    Tylototriton taliangensis / Taliang knobby newt	Tylototriton taliangensis	NC_027421	129885	16265	16.265	13	24	6/24/15	7/13/15	 Caudata	Salamandridae
    Tylototriton verrucosus / crocodile newt	Tylototriton verrucosus	NC_017871	164973	17100	17.1	13	25	5/9/12	2/28/14	 Caudata	Salamandridae
    Tylototriton wenxianensis / Wenxian knobby newt	Tylototriton wenxianensis	NC_027507	385678	16265	16.265	13	24	7/14/15	7/27/15	 Caudata	Salamandridae
    Boulengerula boulengeri / Usambara bluish-gray caecilian	Boulengerula boulengeri	NC_020136	260983	15973	15.973	13	24	1/17/13	5/3/13	Gymnophiona	Herpelidae
    Boulengerula taitana / Taita Mountains caecilian	Boulengerula taitana	NC_020154	102246	16587	16.587	13	25	1/18/13	5/3/13	Gymnophiona	Herpelidae
    Caecilia gracilis	Caecilia gracilis	NC_023508	1415575	16209	16.209	13	24	2/28/14	4/16/14	Gymnophiona	Caeciliidae
    Caecilia tentaculata	Caecilia tentaculata	NC_023507	356198	16297	16.297	13	24	2/28/14	4/16/14	Gymnophiona	Caeciliidae
    Caecilia volcani	Caecilia volcani	NC_020137	543901	16187	16.187	13	24	1/17/13	7/3/13	Gymnophiona	Caeciliidae
    Chikila fulleri / Kuttal caecilian	Chikila fulleri	NC_021369	928324	16198	16.198	13	24	10/6/13	1/27/14	Gymnophiona	Chikilidae
    Chthonerpeton indistinctum	Chthonerpeton indistinctum	NC_023509	420416	17215	17.215	13	24	2/28/14	4/16/14	Gymnophiona	Typhlonectidae
    Crotaphatrema lamottei	Crotaphatrema lamottei	NC_019596	1043697	17103	17.103	13	26	3/12/12	12/19/12	Gymnophiona	Scolecomorphidae
    Dermophis mexicanus / Mexican burrowing caecilian	Dermophis mexicanus	NC_020138	118251	16162	16.162	13	24	1/17/13	7/3/13	Gymnophiona	Dermophiidae
    Gegeneophis ramaswamii / Tenmalai caecilian	Gegeneophis ramaswamii	NC_006301	194526	15897	15.897	13	23	9/22/04	1/2/10	Gymnophiona	Indotyphlidae
    Geotrypetes seraphini	Geotrypetes seraphini	NC_020155	260995	16293	16.293	13	24	1/17/13	7/3/13	Gymnophiona	Dermophiidae
    Grandisonia sechellensis	Grandisonia sechellensis	NC_023510	441557	16094	16.094	13	24	2/28/14	4/16/14	Gymnophiona	Indotyphlidae
    Gymnopis multiplicata	Gymnopis multiplicata	NC_020139	449092	16134	16.134	13	24	1/17/13	7/3/13	Gymnophiona	Dermophiidae
    Herpele squalostoma	Herpele squalostoma	NC_019586	118254	16073	16.073	13	24	3/12/12	5/16/13	Gymnophiona	Herpelidae
    Hypogeophis rostratus	Hypogeophis rostratus	NC_020140	8450	16151	16.151	13	24	1/17/13	7/3/13	Gymnophiona	Indotyphlidae
    Ichthyophis bannanicus	Ichthyophis bannanicus	NC_006404	8453	15983	15.983	13	24	9/11/04	1/2/10	Gymnophiona	Ichthyophiidae
    Ichthyophis bombayensis	Ichthyophis bombayensis	NC_023511	406260	16100	16.1	13	24	2/28/14	4/16/14	Gymnophiona	Ichthyophiidae
    Ichthyophis glutinosus	Ichthyophis glutinosus	NC_006302	194415	15986	15.986	13	24	9/22/04	2/27/09	Gymnophiona	Ichthyophiidae
    Indotyphlus maharashtraensis	Indotyphlus maharashtraensis	NC_023512	1035548	16167	16.167	13	24	2/28/14	4/16/14	Gymnophiona	Indotyphlidae
    Luetkenotyphlus brasiliensis	Luetkenotyphlus brasiliensis	NC_023513	320582	16271	16.271	13	24	2/28/14	4/16/14	Gymnophiona	Siphonopidae
    Microcaecilia dermatophaga / tiny white caecilian	Microcaecilia dermatophaga	NC_023514	1415579	16085	16.085	13	24	2/28/14	4/16/14	Gymnophiona	Siphonopidae
    Microcaecilia sp. PZ-2009	Microcaecilia sp. PZ-2009	NC_020141	650642	16180	16.18	13	24	1/17/13	7/3/13	Gymnophiona	Siphonopidae
    Microcaecilia unicolor	Microcaecilia unicolor	NC_023515	1415580	16007	16.007	13	24	2/28/14	4/16/14	Gymnophiona	Siphonopidae
    Oscaecilia ochrocephala	Oscaecilia ochrocephala	NC_020142	543905	16238	16.238	13	24	1/17/13	7/3/13	Gymnophiona	Caeciliidae
    Potomotyphlus kaupii	Potomotyphlus kaupii	NC_023516	1415581	17035	17.035	13	24	2/28/14	4/16/14	Gymnophiona	Typhlonectidae
    Praslinia cooperi	Praslinia cooperi	NC_023517	420423	16192	16.192	13	24	2/28/14	4/16/14	Gymnophiona	Indotyphlidae
    Rhinatrema bivittatum / two-lined caecilian	Rhinatrema bivittatum	NC_006303	194408	16422	16.422	13	24	9/22/04	2/27/09	Gymnophiona	Rhinatrematidae
    Schistometopum gregorii	Schistometopum gregorii	NC_023518	260982	16038	16.038	13	24	2/28/14	4/16/14	Gymnophiona	Dermophiidae
    Scolecomorphus vittatus	Scolecomorphus vittatus	NC_006304	261001	15973	15.973	13	24	9/22/04	1/2/10	Gymnophiona	Scolecomorphidae
    Siphonops annulatus	Siphonops annulatus	NC_007911	320579	16202	16.202	13	24	3/17/06	3/21/06	Gymnophiona	Siphonopidae
    Typhlonectes natans / Rio Cauca caecilian	Typhlonectes natans	NC_002471	8456	17005	17.005	13	24	6/22/00	1/2/10	Gymnophiona	Typhlonectidae
    Uraeotyphlus cf. oxyurus MW-212	Uraeotyphlus cf. oxyurus MW-212	NC_006305	262585	16432	16.432	13	24	9/22/04	1/2/10	Gymnophiona	Ichthyophiidae
    Uraeotyphlus gansi / Gansi caecilian	Uraeotyphlus gansi	NC_023519	1415582	16101	16.101	13	24	2/28/14	4/16/14	Gymnophiona	Ichthyophiidae
