Genome	Accession	Taxonomy_ID	Length (nt)	Lenght (Kb)	 Protein	 RNA	Created	Updated	Grupo	Familia	# acceso descargados
    Caecilia tentaculata	NC_023507	543901	16297	16.297	13	24	2/28/14	4/16/14	Gymnophiona	Caeciliidae	NC_023507
    Caecilia volcani	NC_020137	928324	16187	16.187	13	24	1/17/13	7/3/13	Gymnophiona	Caeciliidae	NC_020137
    Chikila fulleri / Kuttal caecilian	NC_021369	420416	16198	16.198	13	24	10/6/13	1/27/14	Gymnophiona	Chikilidae	NC_021369
    Chthonerpeton indistinctum	NC_023509	1043697	17215	17.215	13	24	2/28/14	4/16/14	Gymnophiona	Typhlonectidae	NC_023509
    Crotaphatrema lamottei	NC_019596	118251	17103	17.103	13	26	3/12/12	12/19/12	Gymnophiona	Scolecomorphidae	NC_019596
    Dermophis mexicanus / Mexican burrowing caecilian	NC_020138	194526	16162	16.162	13	24	1/17/13	7/3/13	Gymnophiona	Dermophiidae	NC_020138
    Gegeneophis ramaswamii / Tenmalai caecilian	NC_006301	260995	15897	15.897	13	23	9/22/04	1/2/10	Gymnophiona	Indotyphlidae	NC_006301
    Geotrypetes seraphini	NC_020155	441557	16293	16.293	13	24	1/17/13	7/3/13	Gymnophiona	Dermophiidae	NC_020155
    Grandisonia sechellensis	NC_023510	449092	16094	16.094	13	24	2/28/14	4/16/14	Gymnophiona	Indotyphlidae	NC_023510
    Gymnopis multiplicata	NC_020139	118254	16134	16.134	13	24	1/17/13	7/3/13	Gymnophiona	Dermophiidae	NC_020139
    Herpele squalostoma	NC_019586	8450	16073	16.073	13	24	3/12/12	5/16/13	Gymnophiona	Herpelidae	NC_019586
    Hypogeophis rostratus	NC_020140	8453	16151	16.151	13	24	1/17/13	7/3/13	Gymnophiona	Indotyphlidae	NC_020140
    Ichthyophis bannanicus	NC_006404	406260	15983	15.983	13	24	9/11/04	1/2/10	Gymnophiona	Ichthyophiidae	NC_006404
    Ichthyophis bombayensis	NC_023511	194415	16100	16.1	13	24	2/28/14	4/16/14	Gymnophiona	Ichthyophiidae	NC_023511
    Ichthyophis glutinosus	NC_006302	1035548	15986	15.986	13	24	9/22/04	2/27/09	Gymnophiona	Ichthyophiidae	NC_006302
    Indotyphlus maharashtraensis	NC_023512	320582	16167	16.167	13	24	2/28/14	4/16/14	Gymnophiona	Indotyphlidae	NC_023512
    Luetkenotyphlus brasiliensis	NC_023513	1415579	16271	16.271	13	24	2/28/14	4/16/14	Gymnophiona	Siphonopidae	NC_023513
    Microcaecilia dermatophaga / tiny white caecilian	NC_023514	650642	16085	16.085	13	24	2/28/14	4/16/14	Gymnophiona	Siphonopidae	NC_023514
    Microcaecilia sp. PZ-2009	NC_020141	1415580	16180	16.18	13	24	1/17/13	7/3/13	Gymnophiona	Siphonopidae	NC_020141
    Microcaecilia unicolor	NC_023515	543905	16007	16.007	13	24	2/28/14	4/16/14	Gymnophiona	Siphonopidae	NC_023515
    Oscaecilia ochrocephala	NC_020142	1415581	16238	16.238	13	24	1/17/13	7/3/13	Gymnophiona	Caeciliidae	NC_020142
    Potomotyphlus kaupii	NC_023516	420423	17035	17.035	13	24	2/28/14	4/16/14	Gymnophiona	Typhlonectidae	NC_023516
    Praslinia cooperi	NC_023517	194408	16192	16.192	13	24	2/28/14	4/16/14	Gymnophiona	Indotyphlidae	NC_023517
    Rhinatrema bivittatum / two-lined caecilian	NC_006303	260982	16422	16.422	13	24	9/22/04	2/27/09	Gymnophiona	Rhinatrematidae	NC_006303
    Schistometopum gregorii	NC_023518	261001	16038	16.038	13	24	2/28/14	4/16/14	Gymnophiona	Dermophiidae	NC_023518
    Scolecomorphus vittatus	NC_006304	320579	15973	15.973	13	24	9/22/04	1/2/10	Gymnophiona	Scolecomorphidae	NC_006304
    Siphonops annulatus	NC_007911	8456	16202	16.202	13	24	3/17/06	3/21/06	Gymnophiona	Siphonopidae	NC_007911
    Typhlonectes natans / Rio Cauca caecilian	NC_002471	262585	17005	17.005	13	24	6/22/00	1/2/10	Gymnophiona	Typhlonectidae	NC_002471
    Uraeotyphlus cf. oxyurus MW-212	NC_006305	1415582	16432	16.432	13	24	9/22/04	1/2/10	Gymnophiona	Ichthyophiidae	NC_006305
    Uraeotyphlus gansi / Gansi caecilian	NC_023519		16101	16.101	13	24	2/28/14	4/16/14	Gymnophiona	Ichthyophiidae	NC_023519
